date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum,dow,dow_sin,dow_cos,month,month_sin,month_cos,is_weekend,is_friday,is_monday,is_peak_month,lag_1,lag_1_orders,lag_7,lag_7_orders,lag_14,lag_14_orders,lag_28,lag_28_orders,ma7,std7,growth_wow_7,ma14,std14,growth_wow_14,ma28,std28,growth_wow_28,stl_trend,stl_seasonal,stl_resid,is_anomaly,dow_x_month,is_friday_dec,is_friday_mar,avg_check,work_share
2024-11-22,2024-11-22,35.0,71050.0,0.0,71050.0,1.1090909090909091,752.5227272727273,84.92045454545455,7.552272727272728,9.7,1196.5,2.0,0.1,4,-0.433883739117558,-0.9009688679024191,11,-0.5000000000000004,0.8660254037844384,0,1,0,1,63950.0,37.0,61400.0,34.0,57650.0,32.0,61700.0,31.0,52428.57142857143,12512.821995286133,9650.0,57317.857142857145,14161.44015849517,9650.0,53746.78571428572,14203.387455520511,9650.0,58495.40555254802,3656.7135966418787,8897.880850810106,0,44,0,0,2029.9999420000017,0.9999999999859255
2024-11-23,2024-11-23,33.0,57350.0,0.0,57350.0,1.4854166666666666,757.5104166666666,88.29166666666667,5.016666666666667,8.3,706.5,1.0,0.4,5,-0.9749279121818236,-0.2225209339563146,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,71050.0,35.0,51300.0,25.0,66050.0,31.0,43850.0,22.0,53292.857142857145,12630.268820424715,6050.0,56696.42857142857,13937.904382346396,6050.0,54228.92857142857,14083.620204648385,6050.0,59278.67818672524,-691.0180955862096,-1237.6600911390342,0,55,0,0,1737.878735215796,0.9999999999825632
2024-11-24,2024-11-24,35.0,63450.0,0.0,63450.0,1.80625,755.59375,63.40625,6.685416666666666,8.2,891.0,1.0,0.0,6,-0.7818314824680299,0.6234898018587334,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,57350.0,33.0,35750.0,17.0,39200.0,21.0,40600.0,23.0,57250.0,10351.690683168761,27700.0,58428.57142857143,13076.486741266095,27700.0,55045.0,13925.780648375292,27700.0,59944.98820678722,-17518.409006730635,21023.420799943422,1,66,0,0,1812.8570910612261,0.9999999999842396
2024-11-25,2024-11-25,44.0,60950.0,0.0,60950.0,-1.70625,759.46875,85.67708333333333,1.6729166666666666,3.5,1268.5,2.0,0.0,0,0.0,1.0,11,-0.5000000000000004,0.8660254037844384,0,0,1,1,63450.0,35.0,45000.0,25.0,45350.0,29.0,50650.0,31.0,59528.57142857143,8852.77061823308,15950.0,59542.857142857145,12529.516798695542,15950.0,55412.857142857145,13941.41574646815,15950.0,60464.12262213061,-4386.335124908927,4872.212502778311,0,0,0,0,1385.2272412448356,0.9999999999835931
2024-11-26,2024-11-26,50.0,77400.0,0.0,77400.0,-4.925,760.9270833333334,75.98958333333333,1.4041666666666668,1.8,1388.0,2.0,0.0,1,0.7818314824680298,0.6234898018587336,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,60950.0,44.0,42450.0,22.0,77250.0,40.0,53050.0,30.0,64521.42857142857,7342.107845779153,34950.0,59553.57142857143,12545.876801773455,34950.0,56282.5,14535.370047143773,34950.0,60905.97549718627,16150.100557020418,343.9239457933145,0,11,0,0,1547.9999690400007,0.9999999999870802
2024-11-27,2024-11-27,37.0,57050.0,0.0,57050.0,-4.922916666666667,758.1979166666666,63.395833333333336,0.86875,1.4,1317.5,1.0,0.0,2,0.9749279121818236,-0.22252093395631434,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,77400.0,50.0,57500.0,31.0,68600.0,36.0,35400.0,21.0,64457.142857142855,7415.435959955061,-450.0,58728.57142857143,12282.221583775858,-450.0,57055.71428571428,13947.319781969798,-450.0,61231.80494041807,-4725.205309638651,543.4003692205806,0,22,0,0,1541.8918502191393,0.9999999999824715
2024-11-28,2024-11-28,37.0,62500.0,0.0,62500.0,-5.7749999999999995,755.5729166666666,65.10416666666667,1.6375,2.2,800.5,1.0,0.6,3,0.43388373911755823,-0.900968867902419,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,57050.0,37.0,63950.0,37.0,77600.0,40.0,55500.0,26.0,64250.0,7452.1249765869325,-1450.0,57650.0,11104.03599528648,-1450.0,57305.71428571428,13981.09661056168,-1450.0,61481.024224777466,4494.090572295826,-3475.1147970732927,0,33,0,0,1689.1891435354287,0.999999999984
2024-11-29,2024-11-29,41.0,62550.0,0.0,62550.0,-4.2437499999999995,751.6458333333334,70.20833333333333,3.158333333333333,6.3,1202.0,1.0,0.6,4,-0.433883739117558,-0.9009688679024191,11,-0.5000000000000004,0.8660254037844384,0,1,0,1,62500.0,37.0,71050.0,35.0,61400.0,34.0,49150.0,21.0,63035.71428571428,6825.608293143732,-8500.0,57732.142857142855,11138.112102542047,-8500.0,57784.28571428572,13920.79803708878,-8500.0,61604.47119691792,2933.385254828505,-1987.8564517464256,0,44,0,0,1525.6097188875679,0.9999999999840128
2024-11-30,2024-11-30,34.0,66900.0,0.0,66900.0,-1.1854166666666666,752.71875,85.8125,5.4375,6.6,1079.0,1.0,0.0,5,-0.9749279121818236,-0.2225209339563146,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,62550.0,41.0,57350.0,33.0,51300.0,25.0,54900.0,27.0,64400.0,6443.472148875749,9550.0,58846.42857142857,11225.117170636038,9550.0,58212.857142857145,14013.12476246688,9550.0,61677.901195314895,816.642123431768,4405.456681253338,0,55,0,0,1967.647000951559,0.9999999999850524
2024-12-01,2024-12-01,22.0,46450.0,0.0,46450.0,-0.7166666666666667,754.6145833333334,88.78125,4.15625,5.0,717.0,1.0,2.3,6,-0.7818314824680299,0.6234898018587334,12,-2.4492935982947064e-16,1.0,1,0,0,1,66900.0,34.0,63450.0,35.0,35750.0,17.0,21600.0,13.0,61971.42857142857,9390.813646984201,-17000.0,59610.71428571428,9806.163261545797,-17000.0,59100.357142857145,12289.31498622623,-17000.0,63030.38192015027,-14176.9648856755,-2403.417034474769,0,72,0,0,2111.3635403925664,0.9999999999784714
