date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum,dow,dow_sin,dow_cos,month,month_sin,month_cos,is_weekend,is_friday,is_monday,is_peak_month,lag_1,lag_1_orders,lag_7,lag_7_orders,lag_14,lag_14_orders,lag_28,lag_28_orders,ma7,std7,growth_wow_7,ma14,std14,growth_wow_14,ma28,std28,growth_wow_28,stl_trend,stl_seasonal,stl_resid,is_anomaly,dow_x_month,is_friday_dec,is_friday_mar,avg_check,work_share,parts_share
2020-07-17,2020-07-17,13.0,30890.0,545556.35,576446.35,23.143478260869564,745.304347826087,68.04347826086956,1.2826086956521738,3.6,4478.0,9.0,0.5,4,-0.433883739117558,-0.9009688679024191,7,-0.4999999999999997,-0.8660254037844388,0,1,0,0,106587.92,5.0,225165.73,10.0,125880.75,11.0,24830.0,5.0,134526.07714285716,202811.7343511133,351280.62,97174.48,151928.00933055542,351280.62,106553.76857142858,137212.8020962696,351280.62,82823.767879144,31320.97859243452,462301.60352842143,0,28,0,0,44342.02351215204,0.053586946989856755,0.9464130530084085
2020-07-18,2020-07-18,5.0,18600.0,101389.7,119989.7,20.2125,745.46875,70.78125,0.94375,1.8,5275.0,9.0,0.0,5,-0.9749279121818236,-0.2225209339563146,7,-0.4999999999999997,-0.8660254037844388,1,0,0,0,576446.35,13.0,1350.0,1.0,43378.71,5.0,13490.0,2.0,151474.60571428572,194619.40119763787,118639.7,102646.69357142856,151219.3714553199,118639.7,110357.3292857143,136008.32133496733,118639.7,78844.05500189056,-27827.001763015815,68972.64676112526,0,35,0,0,23997.935200412958,0.15501330530741378,0.8449866946842522
2020-07-19,2020-07-19,3.0,38160.0,36127.85,74287.85,20.1625,742.5625,82.78125,1.56875,4.5,2687.0,9.0,2.5,6,-0.7818314824680299,0.6234898018587334,7,-0.4999999999999997,-0.8660254037844388,1,0,0,0,119989.7,5.0,89032.0,3.0,6800.0,1.0,15043.56,3.0,149368.29857142858,195485.68936370144,-14744.149999999994,107467.25428571428,148988.17299606703,-14744.149999999994,112473.19678571429,134927.14816279704,-14744.149999999994,73446.76323708915,42850.69235592529,-42009.605593014436,0,42,0,0,24762.608412463862,0.5136775394561335,0.4863224605304054
2020-07-20,2020-07-20,5.0,22412.0,49310.14,71722.14,19.0375,740.8125,91.53125,1.20625,3.6,2605.0,9.0,1.0,0,0.0,1.0,7,-0.4999999999999997,-0.8660254037844388,0,0,1,0,74287.85,3.0,15550.0,4.0,58209.0,4.0,42602.0,4.0,157392.88999999998,190157.2852978942,56172.14,108432.47857142857,148687.97436611922,56172.14,113513.20178571428,134480.12834120516,56172.14,66799.43978767612,-6879.069740386059,11801.769952709932,0,0,0,0,14344.425131114973,0.3124837044696034,0.687516295516454
2020-07-21,2020-07-21,18.0,265280.0,275256.76,540536.76,18.840625,742.03125,89.59375,1.20625,2.7,6788.0,9.0,0.5,1,0.7818314824680298,0.6234898018587336,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,71722.14,5.0,5670.0,2.0,18919.52,4.0,68397.12,6.0,233802.42714285714,223558.05626097578,534866.76,145690.85285714286,185362.9305504343,534866.76,130375.33178571428,156423.54791593883,534866.76,61069.364188486805,-57116.81238361971,536584.2081951329,0,7,0,0,30029.818331676757,0.4907714324544906,0.5092285675436593
2020-07-22,2020-07-22,3.0,7900.0,178446.14,7900.0,19.625806451612902,741.2741935483871,86.74193548387096,1.403225806451613,4.5,4387.0,9.0,0.7000000000000001,2,0.9749279121818236,-0.22252093395631434,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,540536.76,18.0,147046.27,4.0,43646.62,7.0,152944.31,9.0,213924.38857142857,238260.55344930722,-139146.27,143137.52285714285,187114.61502833746,-139146.27,125195.17785714286,158041.75579475364,-139146.27,59465.024119355876,-6386.822538386497,-45178.20158096938,0,14,0,0,2633.332455555848,0.9999999998734177,22.588118984482517
2020-07-23,2020-07-23,5.0,28840.0,81635.52,110475.52,16.653125,740.25,94.34375,1.196875,3.3,1014.0,9.0,5.5,3,0.43388373911755823,-0.900968867902419,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,7900.0,3.0,106587.92,5.0,22640.6,8.0,244920.95,8.0,214479.76,237973.01662204575,3887.600000000006,149411.4457142857,184213.64217919004,3887.600000000006,120393.55535714286,156302.3138056632,3887.600000000006,61362.73222135026,67958.67399571578,-18845.886217066043,0,21,0,0,22095.099580980084,0.26105330845909525,0.738946691531853
2020-07-24,2020-07-24,2.0,4500.0,43575.545,4500.0,16.053125,741.8125,96.09375,0.8375,1.0,1010.0,9.0,4.4,4,-0.433883739117558,-0.9009688679024191,7,-0.4999999999999997,-0.8660254037844388,0,1,0,0,110475.52,5.0,576446.35,13.0,225165.73,10.0,251146.48,8.0,132773.13857142857,185349.59008933406,-571946.35,133649.60785714287,186657.47643096064,-571946.35,111584.75250000002,155609.1361428131,-571946.35,65077.58638662752,-14964.699021522292,-45612.88736510523,0,28,0,0,2249.9988750005623,0.9999999997777776,9.683454442292565
2020-07-25,2020-07-25,2.0,2650.0,5515.57,8165.57,17.95625,745.25,85.1875,1.228125,3.3,2766.0,8.0,0.2,5,-0.9749279121818236,-0.2225209339563146,7,-0.4999999999999997,-0.8660254037844388,1,0,0,0,4500.0,2.0,119989.7,5.0,1350.0,1.0,66582.2,4.0,116798.26285714285,191356.59406052643,-111824.13,134136.4342857143,186294.41444961986,-111824.13,109498.44428571429,156623.1511980354,-111824.13,72162.5389511545,-31811.68231770112,-32185.28663345339,0,35,0,0,4082.7829586085204,0.32453337607484434,0.6754666238026902
2020-07-26,2020-07-26,9.0,120960.0,169321.33,290281.33,16.159375,747.96875,86.875,1.284375,4.2,4167.0,7.0,0.9,6,-0.7818314824680299,0.6234898018587334,7,-0.4999999999999997,-0.8660254037844388,1,0,0,0,8165.57,2.0,74287.85,3.0,89032.0,3.0,449461.5,14.0,147654.47428571427,200552.80910548478,215993.48,148511.38642857145,190268.39021488046,215993.48,103813.43821428572,146380.34458043688,215993.48,82253.46197990417,45683.03301836226,162344.83500173362,0,42,0,0,32253.47752739139,0.41669920693688184,0.5833007930596731
2020-07-27,2020-07-27,6.0,79250.0,30686.74,109936.74,19.13125,749.75,74.53125,1.359375,3.8,9888.0,8.0,0.0,0,0.0,1.0,7,-0.4999999999999997,-0.8660254037844388,0,0,1,0,290281.33,9.0,71722.14,5.0,15550.0,4.0,11850.0,5.0,153113.70285714284,198652.4860545884,38214.600000000006,155253.29642857143,186835.94413164354,38214.600000000006,107316.53607142858,145267.46162064097,38214.600000000006,88885.47317034041,7568.930440705714,13482.336388953874,0,0,0,0,18322.786946202177,0.7208691107202118,0.27913088927069213
2020-07-28,2020-07-28,4.0,9790.0,22038.96,31828.96,19.74375,748.84375,75.84375,1.165625,2.7,7164.0,8.0,0.0,1,0.7818314824680298,0.6234898018587336,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,109936.74,6.0,540536.76,18.0,5670.0,2.0,129355.21,14.0,80441.15999999999,103618.8010134208,-508707.8,157121.79357142857,185349.82238681067,-508707.8,103833.45571428572,145887.34049880024,-508707.8,89522.84229260925,-48915.49612303505,-8778.386169574194,0,7,0,0,7957.238010690497,0.30758152323206345,0.6924184767365186
2020-07-29,2020-07-29,7.0,27700.0,68009.0,95709.0,21.25625,746.65625,73.0,1.078125,2.7,7775.0,8.0,0.0,2,0.9749279121818236,-0.22252093395631434,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,31828.96,4.0,7900.0,3.0,147046.27,4.0,33813.97,2.0,92985.30285714284,98565.1509956152,87809.0,153454.8457142857,186070.9129733318,87809.0,106043.99250000001,145254.6413284386,87809.0,88957.45729790058,-20304.111429988043,27055.654132087468,0,14,0,0,13672.712332469666,0.2894189679101295,0.7105810320794222
2020-07-30,2020-07-30,22.0,310808.0,524393.23,835201.23,22.04375,742.46875,71.875,1.2375,6.6,1896.0,8.0,0.6000000000000001,3,0.43388373911755823,-0.900968867902419,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,95709.0,7.0,110475.52,5.0,106587.92,5.0,17574.75,3.0,196517.54714285713,298283.0393842119,724725.71,205498.65357142856,259400.61282835196,724725.71,135244.9382142857,199038.2985679543,724725.71,87320.54915856323,75168.44381134993,672712.2370300868,0,21,0,0,37963.690547104976,0.3721354672808945,0.6278645327179081
2020-07-31,2020-07-31,23.0,420140.0,644480.8,1064620.8,18.096875,739.78125,81.78125,1.096875,4.1,5611.0,8.0,0.7000000000000001,4,-0.433883739117558,-0.9009688679024191,7,-0.4999999999999997,-0.8660254037844388,0,1,0,0,835201.23,22.0,4500.0,2.0,576446.35,13.0,125880.75,11.0,347963.3757142857,426227.3015998013,1060120.8,240368.25714285712,334918.9376800568,1060120.8,168771.36857142858,265401.0101821146,1060120.8,82856.0307709701,-39666.5616145546,1021431.3308435846,0,28,0,0,46287.858857049614,0.3946381660020219,0.6053618339970388
2020-08-01,2020-08-01,1.0,18800.0,360899.43500000006,18800.0,16.193548387096776,740.9354838709677,84.16129032258064,0.9870967741935484,1.9,2586.0,8.0,1.6,5,-0.9749279121818236,-0.2225209339563146,8,-0.8660254037844384,-0.5000000000000004,1,0,0,1,1064620.8,23.0,8165.57,2.0,119989.7,5.0,43378.71,5.0,349482.58,424830.9661983293,10634.43,233140.42142857146,338786.1982525649,10634.43,167893.55750000002,265871.33581778227,10634.43,77802.12318070709,-33942.08878726409,-25060.034393443,0,40,0,0,18799.981200018803,0.9999999999468084,19.196778456425704
2020-08-02,2020-08-02,4.0,19080.0,77318.07,96398.07,16.925,737.78125,82.59375,1.965625,4.9,2747.0,8.0,0.8,6,-0.7818314824680299,0.6234898018587334,8,-0.8660254037844384,-0.5000000000000004,1,0,0,1,18800.0,1.0,290281.33,9.0,74287.85,3.0,6800.0,1.0,321784.9714285714,435519.80008613097,-193883.26,234719.72285714286,338039.4330850782,-193883.26,171093.48857142855,264395.7525765528,-193883.26,74398.73753939431,36750.015360710444,-14750.682900104744,0,48,0,0,24099.511475122134,0.19792927389316062,0.8020707260964658
2020-08-03,2020-08-03,9.0,52100.0,38415.83,90515.83,15.703125,746.125,80.3125,0.921875,1.0,3299.0,8.0,0.0,0,0.0,1.0,8,-0.8660254037844384,-0.5000000000000004,0,0,1,1,96398.07,4.0,109936.74,6.0,71722.14,5.0,58209.0,4.0,319010.55571428564,437153.0697864282,-19420.910000000003,236062.1292857143,337379.0244829493,-19420.910000000003,172247.30392857143,263955.00827745686,-19420.910000000003,72346.33879203322,18134.987644492325,34.503563474456314,0,0,0,0,10057.313326965186,0.5755899271920106,0.42441007279694165
