По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-06-02,1.0,276.0233918128655,0.0,276.0233918128655
2020-06-03,1.0,275.43859649122805,0.0,275.43859649122805
2020-06-04,1.0,274.85380116959067,0.0,274.85380116959067
2020-06-05,1.0,274.2690058479532,0.0,274.2690058479532
2020-06-06,1.0,273.6842105263158,0.0,273.6842105263158
2020-06-07,1.0,273.0994152046784,0.0,273.0994152046784
2020-06-08,1.0,272.51461988304095,0.0,272.51461988304095
2020-06-09,1.0,271.9298245614035,0.0,271.9298245614035
2020-06-10,1.0,271.34502923976606,0.0,271.34502923976606
2020-06-11,1.0,270.7602339181287,0.0,270.7602339181287
2020-06-12,1.0,270.17543859649123,0.0,270.17543859649123
2020-06-13,1.0,269.5906432748538,0.0,269.5906432748538
2020-06-14,1.0,269.0058479532164,0.0,269.0058479532164
2020-06-15,1.0,268.42105263157896,0.0,268.42105263157896
2020-06-16,1.0,267.8362573099415,0.0,267.8362573099415
2020-06-17,1.0,267.2514619883041,0.0,267.2514619883041
2020-06-18,1.0,266.6666666666667,0.0,266.6666666666667
2020-06-19,1.0,266.08187134502924,0.0,266.08187134502924
2020-06-20,1.0,265.4970760233918,0.0,265.4970760233918
2020-06-21,1.0,264.9122807017544,0.0,264.9122807017544
2020-06-22,1.0,264.32748538011697,0.0,264.32748538011697
2020-06-23,1.0,263.7426900584795,0.0,263.7426900584795
2020-06-24,1.0,263.1578947368421,0.0,263.1578947368421
2020-06-25,1.0,262.5730994152047,0.0,262.5730994152047
2020-06-26,1.0,261.98830409356725,0.0,261.98830409356725
2020-06-27,1.0,261.4035087719298,0.0,261.4035087719298
2020-06-28,1.0,260.8187134502924,0.0,260.8187134502924
2020-06-29,1.0,260.233918128655,0.0,260.233918128655
2020-06-30,1.0,259.64912280701753,0.0,259.64912280701753
2020-07-01,1.0,259.0643274853801,0.0,259.0643274853801
2020-07-02,1.0,258.4795321637427,0.0,258.4795321637427
2020-07-03,1.0,257.89473684210526,0.0,257.89473684210526
2020-07-04,1.0,257.3099415204678,0.0,257.3099415204678
2020-07-05,1.0,256.72514619883043,0.0,256.72514619883043
2020-07-06,1.0,256.140350877193,0.0,256.140350877193
2020-07-07,1.0,255.55555555555554,0.0,255.55555555555554
2020-07-08,1.0,254.97076023391813,0.0,254.97076023391813
2020-07-09,1.0,254.3859649122807,0.0,254.3859649122807
2020-07-10,1.0,253.80116959064327,0.0,253.80116959064327
2020-07-11,1.0,253.21637426900585,0.0,253.21637426900585
2020-07-12,1.0,252.63157894736844,0.0,252.63157894736844
2020-07-13,1.0,252.046783625731,0.0,252.046783625731
